rank,oblast,cumulative_alert_hours
1,Donetska oblast,10530.379444444445
2,Kharkivska oblast,9058.343055555555
3,Sumska oblast,7870.4927777777775
4,Zaporizka oblast,6568.707222222222
5,Dnipropetrovska oblast,5253.121944444444
6,Poltavska oblast,5224.058333333333
7,Chernihivska oblast,4093.7916666666665
8,Mykolaivska oblast,3938.945277777778
9,Kirovohradska oblast,3796.2480555555558
10,Khersonska oblast,3563.288888888889
11,Kyivska oblast,3273.1966666666667
12,Cherkaska oblast,2755.4952777777776
13,Odeska oblast,2214.450277777778
14,Zhytomyrska oblast,2147.5641666666666
15,Kyiv City,1970.1397222222222
16,Vinnytska oblast,1925.5277777777778
17,Khmelnytska oblast,1412.0894444444446
18,Rivnenska oblast,1025.0583333333334
19,Ternopilska oblast,929.7338888888889
20,Chernivetska oblast,833.8316666666667
21,Volynska oblast,803.4358333333333
22,Ivano-Frankivska oblast,782.9625
23,Lvivska oblast,769.7341666666666
24,Zakarpatska oblast,668.7833333333333
25,Luhanska oblast,87.8925
